Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67044048,FRAG PAREENITI LUXE 169840 IA,Drums,2520,2520,4519078848,
65102490,LIFEBUOY 72GM STIFFENER,Pallets,640,640,4519078848,
65102490,LIFEBUOY 72GM STIFFENER,Pallets,320,320,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,4.74,4.74,4519078848,
68187222,WRAPPER LB TOTAL ARYA 112G BIG CORE,Pallets,329.98,329.98,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,3.48,3.48,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,2.44,2.44,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,2.007,2.007,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,1.1,1.1,4519078848,
67533572,LIFEBUOY 72G OUTER,Bundles,1.8,1.8,4519078848,
68187210,WRAPPER LB TOTAL ARYA 146G BIG CORE,Pallets,320.818,320.818,4519078848,
68187210,WRAPPER LB TOTAL ARYA 146G BIG CORE,Pallets,999.094,999.094,4519078848,
68182285,LUX VELVET T 145G PLESS WRAPPER BIG C,Pallets,315,315,4519078848,
21112588,LUX CHANEL STIFFENER 145G,Pallets,260,260,4519078848,
68348187,WRAPPER LUX BAR S L JASMINE 72X175G,Pallets,40.423,40.423,4519078848,
68348187,WRAPPER LUX BAR S L JASMINE 72X175G,Pallets,526.56,526.56,4519078848,
68348189,STIFENER LUX BAR S L JASMINE 72X175G,Pallets,260,260,4519078848,
68348188,OUTER LUX BAR SPR LXY JASMINE 72X175G,Bundles,2.88,2.88,4519078848,
65103068,Lifebuoy Red Tape,ROL,42,42,4519078848,
68187220,WRAPPER LB CARE ARYA 72G BIG CORE,Pallets,338,338,4519078848,
65103065,Lux/LB white tape,ROL,42,42,4519078848,
68187196,WRAPPER LB BAR TOTAL 72G BIG CORE,Pallets,440,440,4519053136,
