Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65102045,GLYCRINE CP,Drums,25,25,4520229112,
65101859,SALIGIN MPNIPAGIN M,Cartons,5,5,4520229112,
65102054,POTASSIUM HYDROXIDE,Bags,12,12,4520229112,
67500324,MASS BALANCE STEARIC ACID,Bags,360,360,4520229112,
65102055,CETYL ALCOHAL,Cans,12,12,4520229112,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,1,1,4520229112,
65101862,XIAMETER PMX-200SILICONE FLUID 350 CS,Drums,11,11,4520229112,
65101861,SALIGIN PPNIPASOL M,Bags,3,3,4520229112,
65101857,PARSOL MCXUVINUL MC 80,Bags,16,16,4520229112,
65101858,BUTYL METHOXY DIBENZOYLMETHANE,Bags,9,9,4520229112,
65101780,MICRO TITANIUM DIOXIDEMT-100Z,Bags,13,13,4520229112,
65101864,PALMESTER 1514ISOPROPYL MYRISTATE,Cans,5,5,4520229112,
65101814,MP-40,Bags,7,7,4520229112,
65101731,SALLITOINALLANTOIN EP/USP,Cartons,5,5,4520229112,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,27,27,4520229112,
65101760,PHENOXY ETHANOL P10PHENOXETOL,Drums,5,5,4520229112,
65101813,PYRIDOXINE HYDROCHLORIDE,Bags,1,1,4520229112,
65101734,STAY-C 50SODIUM ASCORBYL PHOSPHAT,Bags,6,6,4520229112,
67996546,CI 14700 RED 1 DYE COSMETIC GRADE,Cans,22,22,4520229112,
67393573,FRAG SC 3237N LEIA LF,Drums,8,8,4520229112,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,6,6,4520229112,
20266556,12-HYDROXYSTEARIC ACID,Bags,2.5,2.5,4520229112,
21086372,PONDS PADMA 50G CAP2,Cartons,42,42,4520229112,
68624355,PONDS BRIGHT BEAUTY CRM 50G OUTER,Bundles,1.75,1.75,4520229112,
68624439,PONDS BRIGHT BEAUTY CRM 50G LBLD JAR,Cartons,42,42,4520229112,
68624442,PONDS BRGHT BTY CRM 50G CARTON,Cartons,42,42,4520229112,
