Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
65105437,POLYOX N - 60 K,Cartons,50,50,4520268273,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,10,10,4520268273,
65107547,GLUCONOLACTONE,Bags,30,30,4520268273,
65107549,SODIUM SULFATE,Bags,10,10,4520268273,
65101837,FRESH RELOADED UN 286768,Drums,11.1,11.1,4520268273,
65101771,HYDROLACTIN 2500,Bags,0.02,0.02,4520268273,
65101791,NEEM TREE LEAF HS,Cans,0.02,0.02,4520268273,
65101749,EXTRAPONE AMLA(AMALKI) FRUIT GW 139680,Cans,0.02,0.02,4520268273,
67996546,CI 14700 RED 1 DYE COSMETIC GRADE,Cans,16.2,16.2,4520268273,
67625440,OUTER FOR LBS 90ML PK,Bundles,0.5,0.5,4520268273,
67053972,LIFEBUOY 100ML HERBAL CAP,Cartons,22,22,4520268273,
65105613,DOVE 700ML OUTERS,Bundles,1.46,1.46,4520280795,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,1000,1000,4520268278,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,1000,1000,4520268278,
68196167,ALOE BARBADENSIS LEAF JUICE PRES,Cans,0.02,0.02,4520268278,
