Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101756,TALCUM POWDER,Bags,6000,6000,4520762518,
68357151,FRAG: BRAHMANA UN 286238 GB,Drums,3420,3420,4520762518,
68604914,COSMENYL CARMINE FB 01(CI 12490),Cans,150,150,4520762518,
65105409,FLEXONYL YELW G100-INCL 11680 DISPERSION,Cans,90,90,4520762518,
21111087,Silver Oxide solution,Drums,1000,1000,4520762518,
21111023,VP/VA Copolymer,Drums,120,120,4520762518,
65101728,LAURIC FLAKES 99%,Bags,2400,2400,4520762518,
65102019,TINOPAL CBS X,Cartons,60,60,4520762518,
65102028,TITANIUM DIOXIDE (TIONA,Bags,800,800,4520762518,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4520762518,
68561538,Frag HER Majesty,Drums,1980,1980,4520762518,
