Material Code,,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 M5,IBC Tanks,1100,1100,4520828343,
65105431,CLIMBAZOLE PK,Cans,1,1,4520828343,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),IBC Tanks,1000,1000,4520828343,
65107547,GLUCONOLACTONE,Bags,50,50,4520828343,
65102097,OPULYN 301,Bags,50,50,4520828343,
65105438,PERFUME SATURNE P,Drums,180,180,4520828343,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),IBC Tanks,3000,3000,4520828343,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Bags,100,100,4520828343,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,25,25,4520828343,
65102072,TIMIRON MP – 115,Cartons,100,100,4520828343,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,25,25,4520828343,
