Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68467589,GLOW&LOVELY MV FW 50GM OUTER,Bundles,0.834,0.834,4521258314,
65103069,UNILEVER SELF ADHSV100MOPP TAPE,Cartons,12,12,4521258314,
68466735,GLOW&LOVELY MV FW 50GM TUBE,Cartons,40,40,4521258314,
65102092,MYRISTIC ACID C-14FLAKES,Bags,500,500,4521258314,
65101728,LAURIC FLAKES 99%,Bags,60,60,4521258314,
65102054,POTASSIUM HYDROXIDE,Bags,168,168,4521258314,
21007502,PLANTACARE 2000 UP,Drums,100,100,4521258314,
65105434,PROPYLENE GLYCOL,Bags,150,150,4521258314,
65102045,GLYCRINE CP,Drums,450,450,4521258314,
65109596,CUTINA GMS V(GLYCERYLSTEARATE)(ESTO,Bags,20,20,4521258314,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Bags,60,60,4521258314,
21007501,MERQUAT 550 (POLYQUATERNIUM 7),Cans,12,12,4521258314,
65101799,DISSOLVINE NA2DI SODIUM EDTA (PURE/AR),Bags,1,1,4521258314,
21012842,GLYDANT PLUS LIQUID PK,Cans,6,6,4521258314,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,2,2,4521258314,
65101722,VITAMIN E OIL 96% MINDL-ALPHA TOCOPHERYL,Cans,0.2,0.2,4521258314,
65101734,STAY-C 50SODIUM ASCORBYL PHOSPHAT,Bags,0.4,0.4,4521258314,
68454835,FRAG BLUE DIAMOND IMP 1 PK,Drums,6,6,4521258314,
65101813,PYRIDOXINE HYDROCHLORIDE,Bags,0.2,0.2,4521258314,
65102093,PALMITIC ACID C-16FLAKES,Bags,38,38,4521258314,
20266556,12-HYDROXYSTEARIC ACID,Bags,113.4,113.4,4521258314,
67500324,MASS BALANCE STEARIC ACID,Bags,75,75,4521258314,
65102028,TITANIUM DIOXIDE (TIONA,Bags,125,125,4521278222,
68561538,FRAG HER MAJESTY TS BL,Drums,3240,3240,4521278222,
