Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68388223,LBLD BTL SSK SHMP BLACKSHINE 6X680ML,Cages,0.7,0.7,,
68388223,LBLD BTL SSK SHMP BLACKSHINE 6X680ML,Cages,1.4,1.4,,
67052778,SUNSILK SHAMPOO 700ML BS PUMP,Cartons,1.2,1.2,,
67052778,SUNSILK SHAMPOO 700ML BS PUMP,Cartons,0.8,0.8,,
68202602,SUNSILK SHAMPOO 680ML OUTER,Bundles,0.3,0.3,,
67902324,SUNSILK SHAMPOO BLCKSHN 80ML LBLD BOTTLE,Cartons,12.672,12.672,,
67052824,SS SHMP(90ML)/COND (80ML) BS CAP,Cartons,14,14,,
67625431,OUTER FOR SS 80ML PK,Bundles,0.260,0.260,,
68202651,LBLD BTL LB SHAMP HERBAL A07 12X375ML,Cages,8.4,8.4,,
67053922,LIFEBUOY 375ML HERBAL CAP,Cartons,8,8,,
67053889,LIFEBUOY SHAMPOO 375ML OUTER,Bundles,0.660,0.660,,
68202672,LBLD BTL LB SHAMP NATURLY LNG 24X175ML,Cages,0.880,0.880,,
68202672,LBLD BTL LB SHAMP NATURLY LNG 24X175ML,Cages,3.080,3.080,,
67571705,LBS NATURALLY LONG CAP 175ML,Cartons,5,5,,
67826781,LBS 175ML OUTER FOR 6 BOTTLE/BUNDLE,Bundles,0.22,0.22,,
67979753,LBLD BOTTLE PONDS LOTION NEW 72X50ML,Cartons,10,10,,
65102757,CAPS MOIST LOTION 50/100ML,Cartons,12,12,,
