Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,750,750,4521552112,
65102019,TINOPAL CBS X,Cartons,20,20,4521552112,
65102028,TITANIUM DIOXIDE (TIONA,Cans,425,425,4521552112,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4521552112,
68561538,Frag HER Majesty,Drums,2160,2160,4521552112,
68556802,Frag. Beautifully SP LF 474652,Drums,180,180,4521552112,
68528158,LUX 110G WRAPPER,Pallets,500,500,4521552112,
68140645,Stiffener 110 gm,Pallets,500,500,4521552112,
68566333,Outer 110 gm,Bundles,4.6,4.6,4521552112,
68528152,LUX 175G WRAPPER WHITE,Pallets,60,60,4521552112,
68689878,LUX 175G WRAPPER PINK,Pallets,140,140,4521552112,
68348188,Outer 175 gm,Bundles,2.7,2.7,4521552112,
