Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67012585,SLM 9810 M5,IBC Tanks,1900,1900,4521975250,
65105431,CLIMBAZOLE PK,Bags,2,2,4521975250,
65105439,DC 949 (35%),Drums,200,200,4521975250,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),IBC Tanks,2000,2000,4521975250,
65107547,GLUCONOLACTONE,Bags,50,50,4521975250,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,50,50,4521975250,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Bags,5,5,4521975250,
65102064,MITAINE CA(S)CAPB,Drums,2000,2000,4521975250,
65105437,POLYOX N - 60 K,Cartons,20,20,4521975250,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),Drums,5120,5120,4521975250,
21084201,ACRYLATES - ACULYN 28 (20%) A01,Cartons,60,60,4521975250,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,100,100,4521975250,
65102072,TIMIRON MP – 115,Cartons,100,100,4521975250,
