Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68528156,LUX SC BAR PINK 108X140G WRAPPER,Pallets,710.995,710.995,4522212295,
68809420,OUTER LUX135G,Bundles,4.275,4.275,4522212295,
68809420,OUTER LUX135G,Bundles,2.175,2.175,4522212295,
65103067,LUX PINK SELF ADHESIVETAPE,ROL,24,24,4522212295,
21112588,LUX CHANEL STIFFENER 145G,Pallets,260,260,4522212295,
65102028,TITANIUM DIOXIDE (TIONA,Bags,600,600,4522212295,
68556802,FRAG BEAUTIFULLY SP LF 474652,Drums,1440,1440,4522212295,
68604914,COSMENYL CARMINE FB 01(CI 12490),Cans,10,10,4522212295,
65101728,LAURIC FLAKES 99%,Bags,1200,1200,4522212295,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4522212295,
