Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65102047,ANULLEX BHT (FOOD GRADE),Cans,7,7,4522464450,
65102043,BRIQUEST ADPA - 60A(DEQUEST 2010),Drums,6,6,4522464450,
65102030,DISSOLVINE NA,Bags,11,11,4522464450,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Drums,65,65,4522464450,
68736871,FRAGRANCE BRAHAMANA LF,Drums,80,80,4522464450,
21045881,CARINA UN 286708 BIAD,Drums,2,2,4522464450,
65101728,LAURIC FLAKES 99%,Bags,400,400,4522464450,
65102064,MITAINE CA(S)CAPB,Drums,900,900,4522464450,
65102096,POTASSIUM CHLORIDE / KCL,Bags,350,350,4522464450,
65101937,ROSAMINE HL - CI 45100,Cans,0.05,0.05,4522464450,
21045878,HPMC High OHPO 12000,Cans,25,25,4522464450,
67380504,LB HW RED SELF ADHESIVE TAPE 100 METERS,ROL,40,40,4522464450,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Bags,3,3,4522454945,
65105438,PERFUME SATURNE P,Drums,150,150,4522454945,
65110795,REFINED SALT,Bags,400,400,4522454945,
65107549,SODIUM SULFATE,Bags,20,20,4522454945,
