Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,525,525,4522396969,
65102092,MYRISTIC ACID C-14FLAKES,Bags,150,150,4522396969,
65102093,PALMITIC ACID C-16FLAKES,Bags,75,75,4522396969,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),IBC Tanks,300,300,4522396969,
65102064,MITAINE CA(S)CAPB,IBC Tanks,700,700,4522396969,
21045878,HPMC HIGH OHPO 12000,Cartons,26,26,4522396969,
65102047,ANULLEX BHT (FOOD GRADE),Bags,6,6,4522396969,
65102030,DISSOLVINE NA,Bags,15,15,4522396969,
65102043,BRIQUEST ADPA - 60A(DEQUEST 2010),Drums,10,10,4522396969,
65102054,POTASSIUM HYDROXIDE,Bags,205,205,4522396969,
65102096,POTASSIUM CHLORIDE / KCL,Bags,505,505,4522396969,
21007505,EGDS/TEGIN EGDS(NAGASSE/DEGUSSA/GOLDSH,Drums,101,101,4522396969,
65102045,GLYCRINE CP,Drums,15,15,4522396969,
67231769,PHENYOXYETHANOL+PIROCTONEOLAMINE+PG,Cans,15,15,4522396969,
21111087,SILVER OXIDE SOLUTION A01 0.15%,Drums,8,8,4522396969,
21111023,VP60/VA40 COPOLYMER,Cans,0.61,0.61,4522396969,
68736871,FRAGRANCE BRAHAMANA UN 286238 GB,Drums,40.91,40.91,4522396969,
65101937,ROSAMINE HL - CI 45100,Cans,0.01,0.01,4522396969,
65102103,SUNFLOWER OLEIC OILREFINED-A1,Cans,5.05,5.05,4522396969,
21045877,EXTRAPONE CREAM MIX GW N (PF),Cans,0.51,0.51,4522396969,
21045881,CARINA UN 286708 BIAD,Drums,40.91,40.91,4522396969,
