Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,75,75,4522545331,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,400,400,4522545331,
65101735,JAGUAR C 17 / AD ( NHANCE BF 17 ),Bags,25,25,4522545331,
65105438,PERFUME SATURNE P,Drums,180,180,4522545331,
65101811,KATHON CG PK,Cans,25,25,4522545331,
65105439,DC 949 (35%),Drums,150,150,4522545331,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,4,4,4522545331,
65107546,TREHALOSE A01,Bags,10,10,4522545331,
65110795,REFINED SALT,Bags,300,300,4522545331,
65107547,GLUCONOLACTONE,Bags,25,25,4522545331,
65111044,CITRIC ACID MONOHYDRATE,Bags,25,25,4522545331,
