Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68202609,DOVE 175ML CERMEX OUTER,Bundles,1.74,1.74,4522618774,
68202609,DOVE 175ML CERMEX OUTER,Bundles,3.26,3.26,4522618774,
68202611,DOVE 360ML CERMEX OUTER,Bundles,2.8,2.8,4522618774,
68202611,DOVE 360ML CERMEX OUTER,Bundles,2.2,2.2,4522618774,
67012585,SLM 9810 M5,IBC Tanks,1900,1900,4522618750,
67012585,SLM 9810 M5,IBC Tanks,170,170,4522618750,
65111044,CITRIC ACID MONOHYDRATE,Bags,75,75,4522618750,
65105431,CLIMBAZOLE PK,Cans,1.3,1.3,4522618750,
21007485,COCONUT OIL-PK,Cans,1,1,4522618750,
65105439,DC 949 (35%),IBC Tanks,50,50,4522618750,
68138067,EUPERLAN KE 4776(EGDS + NA BEN),Drums,200,200,4522618750,
65102056,EUROCERT BRILLIANT BLUEFCF (312507L05),Cans,10,10,4522618750,
65107547,GLUCONOLACTONE,Bags,100,100,4522618750,
65102045,GLYCRINE CP,Drums,200,200,4522618750,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,5,5,4522618750,
65102064,MITAINE CA(S)CAPB,Drums,440,440,4522618750,
65102064,MITAINE CA(S)CAPB,IBC Tanks,1200,1200,4522618750,
65102097,OPULYN 301,Cans,50,50,4522618750,
65105438,PERFUME SATURNE P,Drums,360,360,4522618750,
65110795,REFINED SALT,Bags,1500,1500,4522618750,
65107549,SODIUM SULFATE,Bags,50,50,4522618750,
65107546,TREHALOSE A01,Cans,20,20,4522618750,
65107546,TREHALOSE A01,Cans,5,5,4522618750,
32232331,DMDM HYDANTOIN 0.09% FF,Drums,20,20,4522618750,
67120379,GUAR HYDROXYPROPYLTRIMONIUM CHLRIDE 93%,Bags,100,100,4522618750,
65102072,TIMIRON MP – 115,Cartons,100,100,4522618750,
