Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
67594390,DOVE DC LABLD BTL 175ML,Cartons,4.620,4.620,4522618774,
67594390,DOVE DC LABLD BTL 175ML,Cartons,4.482,4.482,4522618774,
67594398,DOVE NOC LABLD BTL 175ML,Cartons,4.180,4.180,4522618774,
67594398,DOVE NOC LABLD BTL 175ML,Cartons,25.337,25.337,4522618774,
67594400,DOVE NOC LABLD BTL 360ML,Cartons,1.600,1.600,4522618774,
67594400,DOVE NOC LABLD BTL 360ML,Cartons,14.080,14.080,4522618774,
67587766,DOVE DC CAP 175ML,Cartons,6.000,6.000,4522618774,
67587766,DOVE DC CAP 175ML,Cartons,22.000,22.000,4522618774,
67587771,DOVE NOC CAP 175ML,Cartons,6.000,6.000,4522618774,
67587780,DOVE IR CAP 175ML,Cartons,16.000,16.000,4522618774,
67587780,DOVE IR CAP 175ML,Cartons,12.000,12.000,4522618774,
67587777,DOVE IR CAP 360ML,Cartons,14.000,14.000,4522618774,
67784087,TAPE DOVE NOC AUTO,Cartons,1.000,1.000,4522618774,
67784091,TAPE DOVE DC AUTO,Cartons,6.000,6.000,4522618774,
67594392,DOVE IR LABLD BTL 175ML,Cartons,15.840,15.840,4522618774,
67594392,DOVE IR LABLD BTL 175ML,Cartons,11.880,11.880,4522618774,
67587778,DOVE NOC CAP 360ML,Cartons,14.000,14.000,4522618774,
67594388,DOVE HFR LABLD BTL 175ML,Cartons,14.300,14.300,4522618774,
67587772,DOVE HFR CAP 175ML,Cartons,16.000,16.000,4522618774,
67587772,DOVE HFR CAP 175ML,Cartons,2.000,2.000,4522618774,
67594404,DOVE HFR LABLD BTL 360ML,Cartons,0.640,0.640,4522618774,
67594404,DOVE HFR LABLD BTL 360ML,Cartons,0.960,0.960,4522618774,
67594404,DOVE HFR LABLD BTL 360ML,Cartons,8.000,8.000,4522618774,
67587779,DOVE HFR CAP 360ML,Cartons,9.000,9.000,4522618774,
67594394,DOVE IR LABLD BTL 360ML,Cartons,0.640,0.640,4522618774,
67594394,DOVE IR LABLD BTL 360ML,Cartons,14.400,14.400,4522618774,
67784093,TAPE DOVE IR AUTO,ROL,6.000,6.000,4522618774,
