Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
68909124,CLEAR SHAMPOO BLACK SHINE PQ1 12X380ML,Cartons,5,5,0,
68675236,OUTER CLEAR 380ML,Bundles,1.1,1.1,0,
67784086,TAPE CLEAR COOL BLCK AUTO,ROL,1,1,0,
68675193,LBLD BTL CLEAR SHAMP BLACK SHINE 380ML,Cartons,13.5,13.5,0,
65107806,CLEAR COOL BLK SHINE 400ML CAPS,Cartons,13.5,13.5,0,
68784632,LABEL CLEAR SHMP BLACK SHINE 380ML S1,Cartons,13.5,13.5,0,
65101798,TEXAPON N 701/ EMAL 170N(SLES 70% 1EO),IBC Tanks,1000,1000,0,
65101806,ZINC SULFATEHEPTAHYDRATE,Cans,5,5,0,
67731337,CESMETIC BB18,Cartons,10,10,0,
65102064,MITAINE CA(S)CAPB,IBC Tanks,266.5,266.5,0,
67012580,CE 1788 POE / SLM 630 M5,IBC Tanks,150,150,0,
67012584,DC7128 NB / UL2899,Drums,83.5,83.5,0,
68414554,ZPTO OCEAN,Cans,104,104,0,
65101785,CARBOPOL 980 A01,Cartons,25,25,0,
32232291,SODIUM SALICYLATE 99%,Bags,15,15,0,
67745680,GLYCINE A01,Drums,1,1,0,
65101775,L-LYSINE MONO-HYDROCHLORIDE,Cans,0.5,0.5,0,
65105430,HELIANTHUS ANNUS (SUNFLOWER) SEED OIL,Cans,3,3,0,
67745679,TAURINE A01,Cans,0.1,0.1,0,
65101860,NIACINAMIDEE(NICOTINAMIDE) BP,Cartons,1,1,0,
65101760,PHENOXY ETHANOL P10PHENOXETOL,Drums,25,25,0,
65102045,GLYCRINE CP,Drums,2.5,2.5,0,
65110795,REFINED SALT,Bags,40,40,0,
65101870,CAUSTIC SODA FLAKES97 % +/- 1,Bags,15,15,0,
67774620,NAUTILIUM 10 AB EZ,Drums,35,35,0,
65101801,MENTHOL RACEMIC,Drums,0.5,0.5,0,
65111044,CITRIC ACID MONOHYDRATE,Bags,5,5,0,
68596552,PIGMENT BLACK,Cans,6.3,6.3,0,
