Material Code,Material Description,Unit,Quantity,Weight,PO Number,IBD Number
65101728,LAURIC FLAKES 99%,Bags,1625,1625,4522765886,
65102019,TINOPAL CBS X,Cartons,50,50,4522765886,
65102028,TITANIUM DIOXIDE (TIONA,Bags,625,625,4522765886,
21107047,ACTIVESILK ESSENTIAL,Cans,20,20,4522765886,
68561538,FRAG HER MAJESTY TS BL,Drums,1800,1800,4522765886,
68556802,FRAG BEAUTIFULLY SP LF 474652,Drums,400,400,4522765886,
68140646,LUX STIFFENER 70G,Pallets,400,400,4522765886,
65102840,LUX 50G STIFFENERS,Pallets,50,50,4522765886,
68528152,LUX SC BAR WHITE FB 72X175G WRAPPER,Pallets,97,97,4522765886,
68689869,OUTER LUX BAR SPR LXY 72X175G,Bundle,1,1,4522765886,
65103065,LUX/LIFEBUOY WHITE SELFADHESIVE TAPE,ROL,18,18,4522765886,
